Index	Name	Type	Nullable	References	Description
0	rolname	name			"role name"
1	rolsuper	bool			"role has superuser privileges"
2	rolinherit	bool			"role automatically inherits privileges of roles it is a member of"
3	rolcreaterole	bool			"role can create more roles"
4	rolcreatedb	bool			"role can create databases"
5	rolcatupdate	bool			"role can update system catalogs directly. (even a superuser cannot do this unless this column is true)"
6	rolcanlogin	bool			"role can log in. that is, this role can be given as the initial session authorization identifier"
7	rolconnlimit	int4			"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit"
8	rolpassword	text			"password (possibly encrypted); null if none"
9	rolvaliduntil	timestamptz			"password expiry time (only used for password authentication); null if no expiration"
10	rolconfig	text[]			"session defaults for run-time configuration variables"
