Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
oid	oid	false		"row identifier"
extname	name	false		"name of the extension"
extowner	oid	false		"owner of the extension"
extnamespace	oid	false		"schema containing the extension's exported objects"
extrelocatable	bool	false		"true if extension can be relocated to another schema"
extversion	text	false		"version name for the extension"
extconfig	oid[]	true		"array of regclass oids for the extension's configuration table(s), or null if none"
extcondition	text[]	true		"array of where-clause filter conditions for the extension's configuration table(s), or null if none"
