Name	Type	Nullable	References	Description
classid	oid		pg_class.oid	"oid of the system catalog containing the object, or null if the object is not a general database object"
database	oid		pg_database.oid	"oid of the database in which the object exists, or zero if the object is a shared object, or null if the object is a transaction id"
granted	bool			"true if lock is held, false if lock is awaited"
locktype	text			"type of the lockable object: relation, extend, page, tuple, transactionid, virtualxid, object, userlock, or advisory"
mode	text			"name of the lock mode held or desired by this process"
objid	oid		"any oid column"	"oid of the object within its system catalog, or null if the object is not a general database object"
objsubid	int2			"column number targeted by the lock (the classid and objid refer to the table itself), or zero if the target is some other general database object, or null if the target is not a general database object"
page	int4			"page number within the relation, or null if the object is not a tuple or relation page"
pid	int4			"process id of the server process holding or awaiting this lock, or null if the lock is held by a prepared transaction"
relation	oid		pg_class.oid	"oid of the relation, or null if the object is not a relation or part of a relation"
transactionid	xid			"id of a transaction, or null if the object is not a transaction id"
tuple	int2			"tuple number within the page, or null if the object is not a tuple"
virtualtransaction	text			"virtual id of the transaction that is holding or awaiting this lock"
virtualxid	text			"virtual id of a transaction, or null if the object is not a virtual transaction id"
