Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
ctid	tid	false		
amname	name	false		"name of the access method"
amstrategies	int2	false		"number of operator strategies for this access method, or zero if access method does not have a fixed set of operator strategies"
amsupport	int2	false		"number of support routines for this access method"
amcanorder	bool	false		"does the access method support ordered scans sorted by the indexed column's value?"
amcanorderbyop	bool	false		"does the access method support ordered scans sorted by the result of an operator on the indexed column?"
amcanbackward	bool	false		"does the access method support backward scanning?"
amcanunique	bool	false		"does the access method support unique indexes?"
amcanmulticol	bool	false		"does the access method support multicolumn indexes?"
amoptionalkey	bool	false		"does the access method support a scan without any constraint for the first index column?"
amsearcharray	bool	false		"does the access method support scalararrayopexpr searches?"
amsearchnulls	bool	false		"does the access method support is null/not null searches?"
amstorage	bool	false		"can index storage data type differ from column data type?"
amclusterable	bool	false		"can an index of this type be clustered on?"
ampredlocks	bool	false		"does an index of this type manage fine-grained predicate locks?"
amkeytype	oid	false	pg_type.oid	"type of data stored in index, or zero if not a fixed type"
aminsert	regproc	false	pg_proc.oid	"""insert this tuple"" function"
ambeginscan	regproc	false	pg_proc.oid	"""prepare for index scan"" function"
amgettuple	regproc	false	pg_proc.oid	"""next valid tuple"" function, or zero if none"
amgetbitmap	regproc	false	pg_proc.oid	"""fetch all valid tuples"" function, or zero if none"
amrescan	regproc	false	pg_proc.oid	"""(re)start index scan"" function"
amendscan	regproc	false	pg_proc.oid	"""clean up after index scan"" function"
ammarkpos	regproc	false	pg_proc.oid	"""mark current scan position"" function"
amrestrpos	regproc	false	pg_proc.oid	"""restore marked scan position"" function"
ambuild	regproc	false	pg_proc.oid	"""build new index"" function"
ambuildempty	regproc	false	pg_proc.oid	"""build empty index"" function"
ambulkdelete	regproc	false	pg_proc.oid	"bulk-delete function"
amvacuumcleanup	regproc	false	pg_proc.oid	"post-vacuum cleanup function"
amcanreturn	regproc	false	pg_proc.oid	"function to check whether index supports index-only scans, or zero if none"
amcostestimate	regproc	false	pg_proc.oid	"function to estimate cost of an index scan"
amoptions	regproc	false	pg_proc.oid	"function to parse and validate reloptions for an index"
