Index	Name	Type	Nullable	References	Description
1	rolname	name	true		"role name"
2	rolsuper	bool	true		"role has superuser privileges"
3	rolinherit	bool	true		"role automatically inherits privileges of roles it is a member of"
4	rolcreaterole	bool	true		"role can create more roles"
5	rolcreatedb	bool	true		"role can create databases"
7	rolcanlogin	bool	true		"role can log in. that is, this role can be given as the initial session authorization identifier"
8	rolreplication	bool	true		"role is a replication role. a replication role can initiate replication connections and create and drop replication slots."
9	rolconnlimit	int4	true		"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit."
10	rolpassword	text	true		"not the password (always reads as ********)"
11	rolvaliduntil	timestamptz	true		"password expiry time (only used for password authentication); null if no expiration"
12	rolconfig	text[]	true		"role-specific defaults for run-time configuration variables"
13	oid	oid	true		"id of role"
